代谢物,VIP值
3-Hydroxybutyrate,0.1561664756635449
ATP,0.203631066153167
Acetate,0.4802416189013182
Alanine,1.2132772677484291
Aspartate,0.36764091685114375
Choline,0.10872861554724142
Creatine,0.38302619471853144
Creatine phosphate,0.8541288346754953
Glucose,0.07798910139222154
Glutamate,1.1408105089931189
Glutamine,1.9274730209192696
Glutathione,0.6007538184012751
Glycine,1.1375418399249886
Histidine,0.11213550942113351
Isoleucine,0.21117504869393822
Lactate,0.5742451992893994
Leucine,0.3586332358768644
Lysine,0.409768906274214
O-Phosphocholine,0.6063581234012634
Ornithine,0.5379493433971381
Phenylalanine,0.183874185067611
Proline,0.23140841962362782
Taurine,3.880975645069853
Threonine,0.06484776725474047
Tyrosine,0.162924475325101
Valine,0.19801959748675252
beta-Alanine,0.7454420024505726
myo-Inositol,1.4792955413204354
sn-Glycero-3-phosphocholine,0.4762868959673722
