代谢物,fold_change,p_value
3-Hydroxybutyrate,1.1503145105020247,0.008626652891017557
ATP,1.014128392873581,0.746864975829473
Acetate,1.2764389376974856,0.18358544441350805
Alanine,1.1416730524757717,0.009035048600105766
Aspartate,0.10751067626167371,9.067102585333773e-11
Choline,0.6796618822266678,0.16841828734574568
Creatine,1.0527837654619494,0.18991615417633423
Creatine phosphate,1.188775663785597,6.817185266047381e-06
Glucose,2.0857717125787945,8.765586162579233e-05
Glutamate,1.0613764893880993,0.12569513162257204
Glutamine,1.2158576404510697,0.00013268516050260232
Glutathione,0.24707999196309952,6.5649452785648394e-06
Glycine,0.9390749834851964,0.12210934305029944
Histidine,2.0253204421646505,0.00277867675451898
Isoleucine,1.7997014891536383,5.472190472588698e-07
Lactate,1.680591307895218,6.379209981050826e-05
Leucine,1.9030811163645245,1.4154308658112724e-07
Lysine,1.68046899530156,0.000559947458609025
O-Phosphocholine,1.0708239977550709,0.007592538062003035
Ornithine,1.229295190547936,0.007596892510961609
Phenylalanine,1.7035583307129214,2.0023665682065583e-05
Proline,1.1101294633056558,0.15746488486995583
Taurine,1.0903316968814574,0.005274773290685371
Threonine,1.2020482766029728,0.17121223899246776
Tyrosine,1.7923294659898203,0.00022281219139031304
Valine,1.605157566476603,1.1595484403190436e-05
beta-Alanine,0.6844603949735198,0.074513324815177
myo-Inositol,1.0160491317077767,0.7011308125284754
sn-Glycero-3-phosphocholine,1.0271046199313558,0.770048814629582
