代谢物,fold_change,p_value
3-Hydroxybutyrate,0.8693274672885558,0.012563736741301314
ATP,0.98606843771177,0.7480469150816471
Acetate,0.783429563660803,0.18596544017193917
Alanine,0.8759075094497966,0.009265321077591666
Aspartate,9.301401821397418,1.9242197091277273e-07
Choline,1.4713198226210062,0.1759383390993624
Creatine,0.9498626715251555,0.19303355878699394
Creatine phosphate,0.8412016080608091,8.873927017939899e-06
Glucose,0.4794388541992574,0.0001240818218524576
Glutamate,0.9421727445428117,0.128324100755974
Glutamine,0.8224647086389251,0.00014710078973099067
Glutathione,4.047272270226342,0.00012011343615001208
Glycine,1.0648776909046092,0.12607884803977756
Histidine,0.4937490281445073,0.003603862980586427
Isoleucine,0.5556477038146359,5.795300997037745e-07
Lactate,0.5950286636031729,7.421701785570048e-05
Leucine,0.5254636764565823,1.5195342392460034e-07
Lysine,0.5950719726432978,0.0008876858395935661
O-Phosphocholine,0.9338602815182048,0.00796141822067866
Ornithine,0.8134742636992407,0.010801517095783324
Phenylalanine,0.5870066096190029,3.566113403840442e-05
Proline,0.9007958378316336,0.1581811388396997
Taurine,0.9171520949635583,0.005387708548803381
Threonine,0.831913342803529,0.17125457167468905
Tyrosine,0.5579331361646428,0.0005125322255195572
Valine,0.62299179898896,1.2217556255041217e-05
beta-Alanine,1.4610049132772507,0.08968584573907523
myo-Inositol,0.9842043743683917,0.7019052376224175
sn-Glycero-3-phosphocholine,0.9736106532816811,0.7700732832640962
