代谢物,fold_change,p_value
3-Hydroxybutyrate,1.0162520515603821,0.7645261706516948
ATP,0.923266016206736,0.005478395625978696
Acetate,0.4581403689093227,0.0001252172272877092
Alanine,0.673156334115005,2.2655751758441787e-06
Aspartate,6.880871155886658,3.0480026146877474e-07
Choline,1.2768940388101617,0.20904493382783823
Creatine,0.780584988940272,0.0006571800596696111
Creatine phosphate,0.6859918846429418,2.71584585361136e-10
Glucose,0.43484884544287494,7.706885407110206e-06
Glutamate,0.7920130897473276,4.889135895710188e-05
Glutamine,0.40565052626057163,9.905729935574543e-13
Glutathione,1.6934818851361555,3.805720235767614e-05
Glycine,0.8557274422133799,0.00266497376074382
Histidine,0.024161213136616608,2.3006195124328924e-07
Isoleucine,0.44340030175399797,2.5095800448125955e-08
Lactate,0.49533657090565686,1.1718584728451324e-05
Leucine,0.38012374807913796,3.334823293613644e-09
Lysine,0.2722722209893445,2.576458016219507e-09
O-Phosphocholine,1.0058158011795717,0.770304762768214
Ornithine,0.4685311144532337,3.246505368099856e-11
Phenylalanine,0.4025486057027727,8.33302391411541e-09
Proline,0.7357951186423819,9.004588892304685e-05
Taurine,2.46742253287501,1.3309472925605604e-18
Threonine,0.8911483552246043,0.3600112477729084
Tyrosine,0.34619970288200225,3.0016464768663093e-09
Valine,0.5224976375705217,5.867729765221774e-07
beta-Alanine,0.0002566563698210317,2.2354759935638346e-10
myo-Inositol,0.6600642467298331,9.912485235167324e-10
sn-Glycero-3-phosphocholine,0.7911378789319075,0.007388445733490171
