metabolite,左侧值,右侧值,sample_1_对照组,sample_2_对照组,sample_3_对照组,sample_4_对照组,sample_5_对照组,sample_6_对照组,sample_7_对照组,sample_8_对照组,sample_9_对照组,sample_10_对照组,sample_11_铁死亡+牛硫磺补充组,sample_12_铁死亡+牛硫磺补充组,sample_13_铁死亡+牛硫磺补充组,sample_14_铁死亡+牛硫磺补充组,sample_15_铁死亡+牛硫磺补充组,sample_16_铁死亡+牛硫磺补充组,sample_17_铁死亡+牛硫磺补充组,sample_18_铁死亡+牛硫磺补充组,sample_19_铁死亡+牛硫磺补充组,sample_20_铁死亡+牛硫磺补充组,sample_21_铁死亡组,sample_22_铁死亡组,sample_23_铁死亡组,sample_24_铁死亡组,sample_25_铁死亡组,sample_26_铁死亡组,sample_27_铁死亡组,sample_28_铁死亡组,sample_29_铁死亡组,sample_30_铁死亡组
3-Hydroxybutyrate,100.0,100.0,9146.349647697338,9676.841928813552,11032.60206518818,9771.334648858965,9970.48866613396,9650.517478258826,9044.358356385386,10532.98650665822,10228.431287453148,9471.25309447503,14467.35577666427,11915.521773866425,11327.677498089906,12140.116464302935,12562.947508632733,11279.432736392322,11618.645975748774,10564.883753435875,10250.892285014355,10134.699348278997,13879.702020052613,12868.227677896662,13057.433721078107,11633.977937095879,12071.351727384232,10582.783825692935,10088.734287449088,10480.516514507191,10239.368283023403,9819.064337321954
ATP,6.1459,6.1683,95864.55427872176,91583.9214977807,77734.184085407,79207.61413502075,95483.7078892981,93849.70338670486,90704.88147729894,75898.20748232052,68527.41961090367,96522.61916240581,76519.36172952695,78577.09740711392,77820.456518584,84744.4953300849,83969.10563941661,82534.20012419365,89956.34919289261,82853.66369776831,80262.51273484918,80758.76432338535,93015.16375414736,90863.0167286973,93691.8183396341,92141.285765098,93698.81212032831,85529.17355972636,82669.36658137655,80271.63008785874,82609.2300583357,94694.36367544148
Acetate,1.9124,1.9282,45423.28850666588,27209.879721230776,47193.55539961913,34322.79953765527,61011.82178653218,123584.3622985058,25068.12942951037,49002.812609787965,72296.97901223466,67064.11640221316,31705.702384786488,20225.065149653623,23269.52213506762,29898.367353323087,30406.005888282278,26670.078388113885,28090.862247177032,29582.60676551825,71809.34871748231,33859.35110153982,99639.85668887118,82040.16693246183,50547.242275868746,88377.45269512155,60067.1760716177,49675.574730785505,41719.09030917811,83988.04777573563,77870.25279311139,80079.65638150167
Alanine,1.4724,1.4954,379385.7615926727,426332.91832587594,457379.1001931543,500086.0676226143,460109.6213432585,458846.7223931226,388521.3848729172,330972.3436394689,448027.4244728522,399670.8491095964,444534.6141677768,378565.9323575788,303378.640939293,259507.67109869444,260180.86364280334,300297.32144448854,294879.3106471048,336491.1760464064,357501.00764093676,360144.2044798405,495695.01825736644,500073.6183375695,496561.5128348455,525821.3766923962,461810.2850511769,422125.463946241,452556.43524991465,512333.7338902544,559421.51080748,486765.9340248976
Aspartate,2.7979,2.8347,45471.46950043642,33389.934370071176,35216.345289210425,28921.212946914296,34973.94354710981,37628.53860701392,38860.50746727116,47815.387226489824,53474.06725746648,49413.12276759569,25722.041518825314,25542.67039765341,28609.29937836544,36761.143335169414,37917.96008854648,25357.089642433573,43630.650816862064,27662.916846747103,23748.532466581095,28303.8003019249,6019.0100051015215,3983.237114468824,4698.75235134052,4149.367363940939,5798.395027350769,4652.857638475131,3051.791548493436,3234.091067307213,2259.565802460538,6373.832543428674
Choline,3.2043,3.2143,18678.029792007153,18286.510863932326,58622.94351374862,28825.869566772315,17328.52410092269,18035.031537824565,17930.071137318442,47766.31326629999,69255.1739164224,17414.348898653225,35685.99561962069,43329.973649202904,22699.410179128456,13802.754095677457,15255.11791546724,17265.219182732573,19302.980100832017,30909.328848001292,40839.84705404272,34057.02375454972,31630.636370752167,16534.271031620476,15385.847761434023,26479.33903368024,12432.88655005458,9362.459167604298,20254.57871826453,32647.733342653926,33617.53149151102,16433.48776529975
Creatine,3.9289,3.9377,59794.67132729028,53595.45566464882,58020.07379623128,59754.10099990612,59570.332691293406,55585.77397829265,53118.73229075836,59862.27177692082,61818.7989604989,64993.848320923265,71352.45325048846,48390.76439845641,42197.45417856214,50770.78562124187,50052.227954232134,43195.60968674371,48414.94714997784,42939.231557925414,43190.9801439069,45947.18817500026,67740.43156385148,66984.56918388947,60843.301763093325,62198.816869872826,58430.689243792396,55559.12678775625,53188.45308480915,64337.916147854194,71145.91777363945,64261.62836092606
Creatine phosphate,3.9475,3.9595,213868.480586349,214447.60454337488,199467.81564009748,206623.9638841711,233432.72368912844,229818.13841276697,214224.48806553613,187897.44073993733,191528.94090043785,225392.74234058382,171927.64030672295,175941.20785423045,165892.67689856273,169541.08572172036,167607.6728549037,176726.61653122603,182174.17404207017,181366.40258482491,175277.19327959538,175900.78756122995,261886.03575966103,256782.8597260352,265448.7994863032,262826.8248820495,259331.89361845955,241217.06087618542,237467.32740454568,238999.95753468317,258165.84677421555,266789.0569928983
Glucose,4.6439,4.6613,27522.843264888616,38846.80894201976,11520.37885698184,32652.022892517984,63193.35370536326,55060.23045232823,37915.314809082,9300.301875364665,13876.074669619074,27430.875860386874,26946.121040145335,15682.930007590083,18490.51446689053,16669.091586018098,16342.8783133494,29977.836176296707,26123.822369756537,47538.05991267979,58497.25676647842,33950.43704146226,80155.78877929813,82808.73600511091,73458.33277329676,58849.683112850355,52940.500462583215,53341.08553500924,50904.3511334813,69154.08193356024,75840.259897435,72269.79206052813
Glutamate,2.3289,2.3827,469909.9851929452,438500.802204988,421425.7115282115,416369.6453594843,474604.5138846516,463180.70338651404,421539.4000875817,409044.17091828084,427776.0346738505,473504.4852693763,382227.3915655769,376670.96583248884,364080.12887644325,385949.7944359478,385408.67964958504,363272.87224560895,392447.29670155724,372281.01421063894,348918.1846071243,377208.6877597311,518659.08125256083,483123.55152972444,494233.86931020196,447791.2461561394,526763.4790184485,495865.2818156889,419481.3226570819,411093.027818177,430255.567447087,521919.7334258098
