metabolite,左侧值,右侧值
TSP,-0.0090,0.0036
Isoleucine,1.0052,1.02363
Valine,1.03783,1.05563
Lactate,1.3208,1.3424
Alanine,1.4724,1.4954
Acetate,1.9124,1.9282
Glutamate,2.3289,2.3827
Glutamine,2.41965,2.4971
Aspartate,2.7979,2.8347
Glutathione,2.9155,2.9559
beta-Alanine,3.1683,3.1961
Choline,3.2043,3.2143
O-Phosphocholine,3.2195,3.2315
sn-Glycero-3-phosphocholine,3.2315,3.2457
Taurine,3.4093,3.4401
myo-Inositol,3.5259,3.5549
Glycine,3.5571,3.5691
Creatine,3.9289,3.9377
Creatine phosphate,3.9475,3.9595
Glucose,4.6439,4.6613
ATP,6.1459,6.1683
Tyrosine,6.8983,6.9137
Histidine,7.0701,7.0753
Phenylalanine,7.3265,7.3465
