metabolite,peak
3-Hydroxybutyrate,1.1874
ATP,6.1519
Acetate,1.9202
Alanine,1.48
Aspartate,2.8042
Choline,3.20945
Creatine,3.9341
Creatine phosphate,3.9523
Glucose,4.6471
Glutamate,2.34284
Glutamine,2.4236
Glutathione,2.92025
Glycine,3.5623
Histidine,7.07312
Isoleucine,1.0114
Lactate,1.329
Leucine,0.9572
Lysine,3.0225
O-Phosphocholine,3.2261
Ornithine,3.0599
Phenylalanine,7.3301
Proline,4.1289
Taurine,3.4173
Threonine,3.5851
Tyrosine,6.9005
Valine,1.043
beta-Alanine,3.1755
myo-Inositol,3.5317
sn-Glycero-3-phosphocholine,3.2355
