metabolite,peak,shifts,mod,upper,not_peak
3-Hydroxybutyrate,1.1596,"[0, -1, -1, -1, -93, -4, -2, 1, 0, 1, -3, -7, 0, -4, -101, 0, -16, -5, -6, -42, -3, -41, -92, -8, -3, -96, -7, -94, -98, -3, 0, -2, -99, -12, -97, -98, -3, -12, -3, -99, -4, -3, -3, -98, -93, 0, -96, -96, -4, -96, -102, -101]",0,"[0, 0.019333658056328158, 0.07968896231685747, 0.05019065245293081, 0.08576162209204834, 0.022591201901240258, 0.05299051542472239, 0.050135741931656146, 0.01657622238316628, 0.010546205865856535, 0.027133500282470406, 0.007965165913259704, 0.07860417596264141, 0.0362203037552403, 0.07773488763409393, 0.07534868635524644, 0.018330756640094148, 0.04868973061971595, 0.05974681591266229, 0.02301704179254656, 0.012134817566078586, 0.05540095490285026, 0.026385582444434764, 0.030292914721388006, 0.03571093949490722, 0.022730108436325596, 0.01812081286359961, 0.027727575762224708, 0.06121032101931284, 0.03614434071145711, 0.0111340944286468, 0.07514602782890317, 0.05891796887923606, 0.0510465459294866, 0.036488383718450514, 0.027949397038745976, 0.048902156896805715, 0.0046713136923318905, 0.002173205488443781, 0.0408956532757097, 0.016175803468364953, -0.009433478747986012, 0.012671119105514005, 0.021210053880907975, 0.17965150392734208, 0.047428391031128746, 0.03975267824195121, 0.023517672062171164, 0.04495284083121549, 0.10804737601352601, 0.06815853087935644, 0.02540729257156377]",0
Acetate,1.9024,"[0, 0, 0, 0, 1, 1, 0, -2, 1, 0, 0, -2, -1, 2, -1, -3, -1, -1, 1, 1, 0, 1, -2, 1, -2, -1, 0, 0, 2, -1, 2, 2, 1, -3, -2, -1, 0, -3, -2, -3, -4, -2, -2, -1, -3, -5, -3, -4, -2, 4, -1, 0]",0,"[0, 0.01505572880194566, 0.04602102438637158, 0.048575437652013054, 0.04110504024655755, 0.03419217024566237, 0.05055791670099656, 0.04816976488253154, 0.033234215895758715, 0.016809377698615575, 0.03395982439918971, 0.025294363209030613, 0.046916261825970015, 0.03068871190560296, 0.04031483850937888, 0.08005769991441822, 0.022275850202018582, 0.029126630236164366, 0.07803797472683265, 0.010755844905753424, 0.024886844163711355, 0.029680325213985323, 0.014912814413624638, 0.030832996091053222, 0.04281298915637212, 0.02055977147099442, 0.03252348462249094, 0.01918645752095581, 0.035030958347040175, 0.02779850549399883, 0.013499069412393622, 0.05445378026124137, 0.038948068370475514, 0.03205422194607199, 0.03820776468147363, 0.03253925933056205, 0.0439258249539656, 0.025795840156952382, 0.002343434945676945, 0.037415073249391306, 0.020992551777979263, 0.004678201914704139, 0.015692704872488, 0.03226765585959257, 0.10181559946006714, 0.047683867695214724, 0.04495076730262107, 0.0367148197418444, 0.03514301058215019, 0.04874060625509209, 0.021763537341446593, 0.022590908551884337]",0
Alanine,1.4594,"[0, 0, 1, 1, 1, 1, 0, -1, 0, 0, -4, -2, -2, -3, -1, -1, 0, 0, -2, -1, -4, -3, -1, -3, -1, 0, 0, 1, -2, -2, -3, -4, -4, -4, -2, -1, 0, -2, -3, -4, -4, -2, -3, -1, -3, -5, -4, -4, -2, 0, -2, 0]",0,"[0, 0.0412660123874891, 0.080029728675185, 0.12646973442659348, 0.08884885999825244, 0.11574114839811019, 0.1104247139185461, 0.08966557997000392, 0.09547846608497203, 0.07016783453526851, 0.12081346078980933, 0.1322636034241132, 0.14708601980389513, 0.1209425714848986, 0.14608856035370552, 0.16879314642189625, 0.11201537493104309, 0.11707606152227161, 1.1808987787946459, 0.15038632065029672, 0.09873861189842797, 0.15937505690065004, 0.2757376111108458, 0.16993667431973342, 0.1080232221408486, 0.18149767249112936, 0.3082418169525315, 0.1158951601449741, 0.1288767719525331, 0.2711215404301135, 0.13940882560901574, 0.12113035797795806, 0.1300215650274747, 0.14778733632918392, 0.10591468341033743, 0.15525186930356005, 0.15428805992227754, 0.10480678623034367, -0.00993604064196454, -0.029526235879423254, -0.009093015850903345, -0.028153948142463227, 0.07116154629108098, 0.004035395423305492, 0.04046568986683631, 0.002750392177352727, -0.020457183270364887, 0.06468336910958726, 0.12543365799199568, 0.13825995542321542, 0.09605618411861393, 0.045750327358427476]",0
Allantoin,5.376,0,0,0,0
Butyrate,2.1108,"[0, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 0, 1, 0, 1, 0, 1, 2, 1, 1]",0,"[0, 0.04347514798387149, 0.14895348991153945, 0.1628416321106782, 0.15146877565670208, 0.11015467762296877, 0.15653493535542198, 0.1485509960075703, 0.1632095665808944, 0.08288614120337283, 0.17394425067512548, 0.15787866284497756, 0.2164334553912955, 0.2218295972753218, 0.3030108424207289, 0.27323634477064584, 0.18735937978434486, 0.11830763521310408, 0.3325905008703179, 0.09242070382567148, 0.1376103938416205, 0.18323902934291597, 0.15652731733037492, 0.14386822296939222, 0.12459711571359022, 0.11102013158234417, 0.15813504491630656, 0.08018150782862662, 0.185195133396138, 0.16293338749214892, 0.19654634649391567, 0.22894210638338433, 0.1879052367243593, 0.19166369901032204, 0.1828797550254367, 0.19184984867679747, 0.23999882667823152, 0.15184234665075322, 0.033229314009996694, 0.1448090450941583, 0.07737232442513971, 0.00024441655040246917, 0.11322462013657447, 0.11215554777486497, 0.20654469567900574, 0.09287972639785107, 0.04488101558653862, 0.11729046937746462, 0.16964109193774268, 0.253472035410638, 0.20575682345284063, 0.1097933218935813]",0
Citrate,2.508,"[0, -3, 0, -2, -1, 2, 1, 0, -1, 1, 0, -3, 0, -4, 1, 0, 1, -2, 1, 0, 0, -3, 0, -3, -1, -3, -3, 1, -1, 0, 1, -3, -2, -2, -3, 0, -3, 1, -2, -3, 0, -2, 1, -3, -3, -4, -3, 0, 1, 0, -1, -1]",0,"[0, -0.009733169369246909, 0.11954106495995545, 0.11751400387558389, 0.11074131176966295, 0.0743729147103836, 0.11002515148420078, 0.0744969351952241, 0.07770113840642051, 0.07106666611846446, 0.08192019216061361, 0.08524094190711351, 0.08026456707208224, 0.0975551287491247, 0.06539086714139755, 0.09622174764305622, 0.007088915112701731, 0.03171803930441093, 0.27894303253030817, -0.025633127885590655, 0.08911528246457193, 0.06773140137191061, 0.04828829877691975, 0.0608603239513781, 0.08613742715058625, 0.07333847861071904, 0.10853710221868335, 0.01960063312851386, 0.09092941447939806, 0.11833055626695477, 0.016992826128566542, 0.1291238543824312, 0.10190862336148337, 0.047451468014611815, 0.0939104838949344, 0.12928996451228017, 0.13044653265704537, 0.03530571662479695, -0.0009126489087110043, 0.02973618265347349, 0.011687928605843341, 0.0006005239217695239, 0.029576125536961664, 0.0008913723065025955, 0.04464143180176317, 0.011932495040616158, -0.009679813214839189, 0.008244828027111364, 0.0798663707541594, 0.09873156155137405, 0.08601266138151017, -0.008237326983286442]",0
Creatine,3.0213,"[0, 0, 0, 0, 1, 0, 0, -1, 1, 0, 0, -3, -2, 2, -1, -2, -1, 0, -3, 1, 1, 2, 0, 1, -1, 0, 2, 0, -2, -1, 1, 2, 1, 1, -3, -2, 0, -3, -2, -3, -4, -2, -2, 0, -2, -4, -4, -3, -2, 2, -2, 0]",0,"[0, 0.009195549515516127, 0.044652145866774295, 0.03778935179764337, 0.05836742318053022, 0.010805959507628587, 0.0380917653352489, 0.032812821231608294, 0.030029515749535014, 0.025676142810484876, 0.032020641753088885, 0.024104064803215555, 0.01324493640126365, 0.0326003260115316, 0.011265581432328106, 0.02919268004661017, 0.015637561383352074, 0.009494210466059147, 0.03981618785632349, 0.003572818744393401, 0.027007703628528085, 0.02531048872354418, 0.009450380176506259, 0.0112001607054475, 0.010508324757258587, 0.010790689894016972, 0.019065886110070207, 0.01928928035675683, 0.02767101104995068, 0.01014540834522045, 0.01463725690589285, 0.03520320505610426, 0.032488394275648036, 0.022423768608890986, 0.03313855641627394, 0.03075053194210527, 0.036096671161799654, 0.008902574164602137, 0.006324901622824526, 0.004902428744815921, 0.0008134832575708746, 0.005765831230835539, 0.008553952360490754, 0.0003021667556395019, 0.013609858958645825, 0.012714332372636142, 0.0030698411208323452, 0.0002775683379987858, 0.025563488697218865, 0.03270068643155947, 0.03520789378669877, 0.008115080376378515]",0
Ethanol,1.1796,"[0, 0, 0, 0, 0, -3, -2, 1, 0, 0, 0, -2, 0, -1, 0, 0, 0, -1, 0, -42, -3, 0, 0, 0, -2, 0, -2, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0.008314235881923416, 0.048310679333075535, 0.029549586458759637, 0.038766517056864874, 0.00793953282920402, 0.02800132481889904, 0.02927701048972063, 0.00992480046634001, 0.00694485981958667, 0.016729242897247986, 0.0075962658709662475, 0.04366134593311222, 0.01811549225976585, 0.03447221017030169, 0.04364423421325359, 0.006966676574306036, 0.02603826438106612, 0.042327733366737286, 0.010501463290882602, 0.009183240594769805, 0.026962367751677936, 0.007810753035588016, 0.015546664979391406, 0.020618026565330575, 0.008128717804253761, 0.012715442570083477, 0.012628447592771968, 0.026139317643726866, 0.010196254532415044, 0.004315910062493077, 0.04477112513581224, 0.023928646294775667, 0.029925708796526215, 0.01438226733315955, 0.011819634971038783, 0.03120200495027698, 0.0035865204698449843, 0.00027502134195268955, 0.017076256740658657, 0.004179701446821715, -0.00240429372627357, 0.005626156975824311, 0.006564428443728163, 0.08412229496824787, 0.030368229227672593, 0.01362657675802393, 0.008076179418745753, 0.022187244324273794, 0.046937320014656655, 0.029952883989691634, 0.009654919765908699]",0
Formate,8.459,"[0, 4, 2, 3, 4, 3, 5, 2, 5, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 6, 2, 2, 5, 3, 3, 4, 3, 2, 3, 7, 5, 5, 5, 6, 3, 5, 2, 2, 1, 0, 3, 3, 4, 2, 0, 1, 2, 2, 5, 3, 4]",0,"[0, -0.005272268126974133, 0.052287948232560645, 0.04680380186396421, -0.05448956226779834, -0.13575363386155864, -0.0038573700899577697, -0.09578488305649135, 0.013804560483065626, -0.002370213520541375, -0.008342718899096813, 0.09913923885662956, -0.104070115677734, 0.029662153624822652, 0.1515408346627572, -0.048482007951538904, -0.08421793529343538, 0.14026940488151424, -0.07085752915996531, 0.024635753241401343, -0.020957718832271457, 0.06111439972077545, -0.028133442130284875, -0.02660530164463538, 0.10730181576760955, 0.01428507342042392, 0.1806652992373061, -0.03733061748031705, 0.010911056126116415, 0.07766841300368359, -0.015404872821135684, 0.02345890313180903, 0.01209500826709782, -0.11706410624004118, -0.04407982034140965, 0.019810870418015665, -0.14365317900400343, 0.09795060328377102, -0.007532221997034165, 0.04013470942589066, -0.03754451139989377, -0.06591006142009918, 0.013079550366360996, -0.03609988209410628, 0.12399254123074212, -0.011826798195498004, -0.06561296425608286, -0.13261978048241718, 0.05561277808724372, -0.052447353811709264, 0.10271576805803356, 0.027581779131190854]",0
Fumarate,6.5037,"[0, 0, -1, 1, 1, 0, 2, -1, -1, 0, 0, 2, 2, 1, -1, 3, 4, -1, 1, -3, 1, -2, -59, 1, 0, -4, 0, 22, -36, 3, -7, 1, -1, -3, 2, 2, 2, -1, -1, -3, 0, -2, -1, 0, -3, -4, -4, -4, 2, -3, -3, 0]",0,"[0, -0.08865634918118638, -0.02875540359149203, 0.09401433333278367, 0.015801348862969397, -0.06284399191128995, -0.06264564318755511, -0.02246362654778265, -0.29132995438296866, 0.004959365981207164, -0.032499433245175124, -0.05021188670184595, -0.02156549047651867, -0.06525964532000979, -0.035821967181851634, -0.014453621983037526, 0.0360750045079632, -0.09825830968490226, 0.04197224846526739, -0.07378399264637822, -0.2598893107205495, -0.10307715863743006, -0.14816969167381389, -0.037151947832357125, -0.23234533979161925, -0.012276171270486545, 0.03273162315793792, 0.03053569363057091, 0.09959075716399882, 0.08260375911313045, -0.054649535878410246, 0.05400199102964718, 0.029351878628491763, -0.12955745634032287, -0.21242536589480948, -0.21792031174086557, -0.10023756994128928, -0.08346282516110673, -0.018116240510975313, -0.05529807213785914, -0.06213557758479798, 0.009642386011870938, -0.10090156656513766, 0.06190587091845407, -0.10007190675611956, 0.07597456333805402, -0.1923283444850088, -0.10633066138715142, 0.15721993937168066, 0.018261942372827585, 0.04689805533229161, -0.04787777548538293]",0
